time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,-0.0483,0.0076,0.0606,0.0676,0.022,0.0709,0.0185,0.1762
0.05,-0.0135,0.0061,0.0758,0.06,0.0189,0.0845,0.017,0.1808
0.1,-0.0423,0.0106,0.0727,0.057,0.0235,0.0709,0.017,0.1762
0.15,-0.012,0.0061,0.0621,0.0494,0.022,0.0679,0.0185,0.1732
0.2,-0.0483,0.0091,0.0742,0.0555,0.025,0.0755,0.0215,0.1823
0.25,-0.0271,0.003,0.0652,0.0645,0.025,0.0679,0.0109,0.1687
0.3,-0.0377,0.0061,0.0591,0.06,0.0235,0.0694,0.0155,0.1717
0.35,-0.0347,0.0152,0.0576,0.0752,0.0189,0.0724,0.0215,0.1717
0.4,-0.0347,0.0076,0.0727,0.0555,0.0265,0.0648,0.0245,0.1611
0.45,-0.0423,0.0061,0.0591,0.0585,0.0235,0.0724,0.0139,0.1687
0.5,-0.0377,0.0076,0.0561,0.06,0.0265,0.0664,0.0215,0.1702
0.55,-0.0483,0.0076,0.0773,0.06,0.025,0.0709,0.0215,0.1656
0.6,-0.0423,0.0045,0.0621,0.0645,0.0295,0.0755,0.0139,0.1732
0.65,-0.0332,0.003,0.0652,0.0661,0.025,0.0694,0.0079,0.1884
0.7,-0.065,0.0121,0.053,0.0691,0.0205,0.0724,0.0109,0.1793
0.75,-0.0408,0.003,0.0667,0.0645,0.0235,0.0679,0.0124,0.1808
0.8,-0.0453,0.0091,0.0591,0.0585,0.0235,0.0679,0.0064,0.1717
0.85,-0.0271,0.0091,0.0818,0.0615,0.0189,0.0679,0.0155,0.1687
0.9,-0.0408,0.0045,0.0621,0.06,0.0265,0.077,0.0109,0.1702
0.95,-0.0514,0.0121,0.0697,0.0524,0.0205,0.0724,0.0155,0.1762
1.0,-0.0347,0.0136,0.0697,0.0524,0.0205,0.0724,0.0094,0.1762
1.05,-0.0362,0.0061,0.0682,0.0555,0.0144,0.0694,0.0215,0.1762
1.1,-0.0423,0.0091,0.0697,0.0539,0.0159,0.08,0.0261,0.1672
1.15,-0.0377,0.0061,0.0682,0.0524,0.022,0.0694,0.0185,0.1808
1.2,-0.0483,-0.0,0.0652,0.057,0.0205,0.0739,0.0155,0.1717
1.25,-0.0453,0.0076,0.0636,0.057,0.025,0.0694,0.0215,0.1672
1.3,-0.0362,0.0045,0.0667,0.063,0.0205,0.0724,0.0094,0.1717
1.35,-0.0211,0.0076,0.05,0.0706,0.022,0.0739,0.0109,0.1732
1.4,-0.0408,0.0076,0.05,0.0585,0.025,0.0664,0.0155,0.1747
1.45,-0.0302,0.0091,0.0758,0.0479,0.0235,0.0739,0.0245,0.1838
1.5,-0.0302,0.0061,0.0682,0.0645,0.022,0.0709,0.0139,0.1793
1.55,-0.0362,0.0121,0.0561,0.0585,0.028,0.0694,0.017,0.1823
1.6,-0.0271,0.0061,0.0682,0.0661,0.0205,0.0709,0.0139,0.1762
1.65,-0.0423,0.0106,0.0652,0.0706,0.025,0.0709,0.0185,0.1747
1.7,-0.0286,0.0076,0.0697,0.06,0.022,0.0664,0.02,0.1732
1.75,-0.0453,0.0076,0.0697,0.057,0.0189,0.0679,0.0185,0.1732
1.8,-0.0392,0.0121,0.0712,0.0661,0.022,0.077,0.0139,0.1793
1.85,-0.0302,0.0091,0.0621,0.0494,0.0235,0.0755,0.0094,0.1747
1.9,-0.0483,0.0045,0.0591,0.057,0.0189,0.0664,0.0124,0.1762
1.95,-0.0377,0.0076,0.0742,0.0555,0.0174,0.0724,0.0215,0.1868
2.0,-0.0362,0.0061,0.0788,0.0524,0.0189,0.0755,0.0139,0.1929
2.05,-0.0286,0.0076,0.0712,0.057,0.028,0.0694,0.0245,0.1747
2.1,-0.0362,0.0045,0.0652,0.0585,0.0189,0.0709,0.017,0.1747
2.15,-0.0453,0.0045,0.0485,0.0555,0.0189,0.0724,0.0215,0.1793
2.2,-0.0408,0.0045,0.0621,0.0752,0.0235,0.077,0.0215,0.1687
2.25,-0.0195,-0.0015,0.0667,0.0615,0.0189,0.077,0.02,0.1808
2.3,-0.0408,0.0045,0.0636,0.0555,0.0235,0.0694,0.0245,0.1762
2.35,-0.0377,0.0045,0.0697,0.063,0.025,0.077,0.0048,0.1732
2.4,-0.0317,0.0045,0.0636,0.0539,0.0235,0.0785,0.0064,0.1702
2.45,-0.0286,0.0061,0.0818,0.0615,0.022,0.0785,0.0124,0.1717
2.5,-0.0347,0.003,0.0606,0.0524,0.0189,0.0739,0.0109,0.1732
2.55,-0.0302,0.0091,0.0712,0.057,0.0129,0.0739,0.0064,0.1656
2.6,-0.0408,0.0061,0.0545,0.0555,0.0098,0.0785,0.0185,0.1717
