time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0108,0.0182,0.1242,-0.0112,0.0614,0.08,0.0776,0.1368
0.05,0.0168,0.0106,0.1227,-0.0112,0.0598,0.08,0.073,0.1368
0.1,0.0259,0.0136,0.1318,-0.0006,0.0659,0.0755,0.0715,0.1368
0.15,0.0108,0.0106,0.1242,-0.0127,0.0538,0.0845,0.0791,0.1399
0.2,0.0047,0.0136,0.1182,-0.0127,0.0614,0.0785,0.067,0.1444
0.25,-0.0059,0.0136,0.1061,-0.0218,0.0659,0.0739,0.0806,0.1368
0.3,0.0062,0.0152,0.1348,-0.0112,0.0583,0.083,0.0776,0.1399
0.35,0.0214,0.0121,0.1182,-0.0203,0.0598,0.0861,0.0715,0.1353
0.4,0.0138,0.0045,0.1182,-0.0173,0.0598,0.083,0.0715,0.1323
0.45,0.0365,0.0091,0.1121,-0.0188,0.0568,0.0785,0.0685,0.1323
0.5,0.0274,0.0152,0.1152,-0.0264,0.0583,0.0739,0.073,0.1429
0.55,0.0002,0.0167,0.1197,-0.0279,0.0644,0.0845,0.0791,0.1368
0.6,-0.0029,0.0061,0.1242,-0.0082,0.0598,0.08,0.0639,0.1414
0.65,0.0153,0.0167,0.1212,-0.0279,0.0568,0.08,0.073,0.1247
0.7,0.0214,0.0106,0.1121,-0.0218,0.0553,0.0785,0.0745,0.1353
0.75,0.0002,0.0152,0.1242,-0.0158,0.0568,0.0815,0.0685,0.1384
0.8,0.0047,0.0121,0.1167,-0.0233,0.0598,0.0755,0.0745,0.1338
0.85,0.0077,0.0091,0.1152,-0.0188,0.0568,0.0785,0.067,0.1353
0.9,0.0153,0.0167,0.1197,-0.0309,0.0568,0.083,0.0685,0.1308
0.95,0.0244,0.0106,0.1394,0.0039,0.0629,0.0815,0.0715,0.1444
1.0,0.0153,0.0136,0.1303,-0.0067,0.0598,0.0755,0.0655,0.1384
1.05,0.0229,0.0152,0.1333,0.0085,0.0644,0.0891,0.0806,0.1444
1.1,0.0092,0.0091,0.1242,-0.0142,0.0568,0.0815,0.0821,0.1278
1.15,0.0229,0.0091,0.1227,-0.0173,0.0629,0.0815,0.0715,0.1202
1.2,0.0123,0.0121,0.1227,-0.0188,0.0659,0.077,0.0745,0.1384
1.25,-0.0029,0.0197,0.1212,-0.0188,0.0538,0.08,0.0745,0.1232
1.3,0.0002,0.0121,0.1227,-0.0218,0.0614,0.077,0.0776,0.1414
1.35,0.0153,0.0061,0.1197,-0.0158,0.0583,0.0815,0.0821,0.1368
1.4,0.0259,0.0106,0.1288,-0.0112,0.0598,0.0815,0.0655,0.1399
1.45,0.0411,0.0076,0.1152,-0.0264,0.0583,0.0845,0.073,0.1323
1.5,0.0138,0.0136,0.1364,-0.0142,0.0598,0.0739,0.0745,0.1293
1.55,0.0153,0.0212,0.1136,-0.0036,0.0629,0.083,0.0715,0.1323
1.6,0.0259,0.0076,0.1106,-0.0127,0.0492,0.0785,0.0685,0.1399
1.65,0.0108,0.0136,0.1288,-0.0203,0.0568,0.077,0.0715,0.1368
1.7,0.0138,0.0167,0.1136,-0.0248,0.0568,0.083,0.07,0.1338
1.75,0.0092,0.0136,0.1258,-0.0233,0.0523,0.0815,0.0715,0.1323
