time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0138,-0.0364,0.1333,0.0039,0.0644,0.0921,0.073,0.1202
0.05,0.0123,-0.0333,0.1242,0.0161,0.0856,0.0921,0.0806,0.1293
0.1,-0.0105,-0.0288,0.1273,0.0024,0.075,0.083,0.0791,0.1368
0.15,0.0077,-0.0318,0.1258,0.0145,0.0689,0.0952,0.067,0.1323
0.2,-0.0014,-0.0333,0.1227,0.0115,0.0735,0.0967,0.0745,0.1308
0.25,0.0153,-0.0273,0.1333,0.013,0.072,0.0891,0.0745,0.1202
0.3,-0.0105,-0.0212,0.1288,0.0024,0.072,0.08,0.0685,0.1308
0.35,-0.0044,-0.0348,0.1212,-0.0082,0.072,0.0815,0.0821,0.1278
0.4,0.0214,-0.0258,0.1136,0.0055,0.0705,0.0845,0.0761,0.1308
0.45,0.0077,-0.0333,0.1212,-0.0006,0.0644,0.0845,0.0761,0.1293
0.5,0.0092,-0.0288,0.1288,0.013,0.0689,0.0921,0.0745,0.1262
0.55,0.0017,-0.0303,0.1288,0.0039,0.075,0.0906,0.0745,0.1293
0.6,-0.0105,-0.0333,0.1136,-0.0067,0.0735,0.0891,0.0761,0.1459
0.65,-0.0059,-0.0333,0.1182,0.01,0.072,0.0891,0.0745,0.1323
0.7,0.0092,-0.0288,0.1258,0.0085,0.0644,0.0815,0.07,0.1217
0.75,0.0108,-0.0333,0.1136,-0.0036,0.0689,0.0891,0.07,0.1217
0.8,0.0168,-0.0348,0.1242,-0.0021,0.0674,0.0891,0.0836,0.1308
0.85,-0.0074,-0.0288,0.1318,0.013,0.072,0.0906,0.0685,0.1278
0.9,-0.0014,-0.0348,0.1167,-0.0036,0.0689,0.0906,0.073,0.1202
0.95,0.0138,-0.0333,0.1167,0.013,0.0689,0.0845,0.0685,0.1232
1.0,0.0198,-0.0318,0.1227,0.0145,0.0689,0.0876,0.0745,0.1384
1.05,0.0032,-0.0333,0.1242,0.0176,0.078,0.0891,0.0548,0.1353
1.1,-0.0014,-0.0348,0.1273,0.007,0.0674,0.0891,0.07,0.1308
1.15,0.0092,-0.0364,0.1242,0.0176,0.0674,0.0845,0.067,0.1338
1.2,-0.0044,-0.0455,0.1303,0.0009,0.0689,0.0906,0.0761,0.1353
1.25,-0.0286,-0.0333,0.1152,0.007,0.072,0.0815,0.0655,0.1308
1.3,-0.0014,-0.0379,0.1258,0.0055,0.0689,0.0861,0.0761,0.1414
1.35,0.0138,-0.0379,0.1227,0.0115,0.075,0.0891,0.067,0.1399
1.4,-0.0317,-0.0394,0.1242,0.0145,0.0795,0.0891,0.0715,0.1217
1.45,-0.0044,-0.0348,0.1273,0.0252,0.075,0.0921,0.0776,0.1308
1.5,0.0108,-0.0318,0.1212,0.0055,0.0644,0.0785,0.07,0.1278
1.55,0.0123,-0.0364,0.1288,0.0085,0.0644,0.0845,0.0776,0.1156
1.6,0.0138,-0.0318,0.1258,0.0039,0.0674,0.083,0.0715,0.1217
1.65,0.0077,-0.0348,0.1273,0.0039,0.0674,0.0861,0.07,0.1278
1.7,0.0183,-0.0333,0.1273,0.0145,0.0705,0.0891,0.0745,0.1232
1.75,0.0123,-0.0318,0.1273,0.013,0.0705,0.077,0.0609,0.1368
1.8,-0.0089,-0.0333,0.1258,0.007,0.0705,0.083,0.0715,0.1353
1.85,-0.0014,-0.0333,0.1106,0.0055,0.0705,0.0876,0.0745,0.1262
1.9,-0.0195,-0.0273,0.1273,0.0009,0.0689,0.0921,0.07,0.1262
1.95,0.0047,-0.0288,0.1303,0.007,0.072,0.083,0.0715,0.1217
2.0,-0.0059,-0.0273,0.1136,0.007,0.0689,0.0845,0.0715,0.1278
2.05,0.0062,-0.0303,0.1242,0.007,0.0674,0.0876,0.067,0.1247
2.1,0.0108,-0.0348,0.1227,-0.0036,0.0614,0.0815,0.0776,0.1187
2.15,0.0092,-0.0273,0.1242,0.0009,0.0689,0.0861,0.0761,0.1217
2.2,-0.0241,-0.0273,0.1182,0.01,0.075,0.0845,0.07,0.1262
