time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0092,-0.0242,0.1197,-0.0173,0.0508,0.0815,0.07,0.1323
0.05,0.0138,-0.0227,0.1273,0.0297,0.072,0.0724,0.067,0.1429
0.1,0.0092,-0.0258,0.1242,-0.0097,0.0508,0.0755,0.067,0.1475
0.15,-0.0059,-0.0242,0.1106,-0.0233,0.0568,0.0815,0.0685,0.1353
0.2,0.0092,-0.0167,0.1182,-0.0188,0.0477,0.0739,0.0715,0.1293
0.25,0.0138,-0.0258,0.1197,-0.0097,0.0432,0.0815,0.0685,0.1247
0.3,0.0108,-0.0242,0.1167,-0.0142,0.0689,0.0724,0.0655,0.1338
0.35,0.0077,-0.0182,0.1152,-0.0112,0.0417,0.08,0.0548,0.1459
0.4,0.0123,-0.0197,0.1197,-0.0158,0.0568,0.0739,0.0594,0.1505
0.45,0.0123,-0.0273,0.1258,-0.0158,0.0689,0.0845,0.0594,0.1459
0.5,0.0153,-0.0227,0.1212,-0.0218,0.0583,0.08,0.0655,0.152
0.55,0.0047,-0.0227,0.1182,-0.0112,0.0568,0.077,0.0579,0.1565
0.6,-0.012,-0.0227,0.1273,-0.0082,0.0538,0.0739,0.0685,0.1459
0.65,0.0077,-0.0212,0.1258,-0.0158,0.0614,0.0785,0.067,0.1338
0.7,0.0441,-0.0167,0.1167,0.0024,0.0598,0.077,0.0715,0.1384
0.75,0.0017,-0.0197,0.1197,-0.0173,0.0629,0.0785,0.0639,0.1338
0.8,0.0123,-0.0212,0.1273,-0.0112,0.0553,0.0755,0.0655,0.1368
0.85,-0.0059,-0.0258,0.1121,-0.0203,0.0538,0.0739,0.067,0.1505
0.9,0.0108,-0.0303,0.1273,-0.0052,0.0629,0.0739,0.067,0.1353
0.95,0.0229,-0.0212,0.1258,-0.0203,0.0583,0.0739,0.0609,0.1656
1.0,0.0002,-0.0273,0.1152,-0.0203,0.0614,0.0785,0.0639,0.1459
1.05,0.0168,-0.0242,0.1242,-0.0067,0.0614,0.077,0.0594,0.152
1.1,0.0259,-0.0242,0.1212,-0.0112,0.0659,0.0724,0.0594,0.1505
1.15,0.0032,-0.0288,0.1182,-0.0218,0.0629,0.0785,0.067,0.152
1.2,-0.0059,-0.0227,0.1197,-0.0052,0.0477,0.0755,0.0639,0.149
1.25,0.0153,-0.0273,0.1167,-0.0173,0.0508,0.08,0.0639,0.1368
1.3,0.0305,-0.0273,0.1136,-0.0082,0.0523,0.0785,0.0715,0.1368
1.35,0.0047,-0.0258,0.1167,-0.0127,0.0583,0.0815,0.0685,0.1323
1.4,0.0259,-0.0152,0.1167,-0.0158,0.0447,0.0739,0.0655,0.1353
1.45,0.0077,-0.0258,0.1152,-0.0203,0.0553,0.0785,0.0579,0.1414
1.5,0.0092,-0.0242,0.1167,-0.0112,0.0523,0.0739,0.0609,0.1323
1.55,0.0168,-0.0212,0.1121,-0.0158,0.0538,0.0739,0.0639,0.1141
1.6,0.0153,-0.0242,0.1273,-0.0112,0.0598,0.0755,0.0594,0.1217
1.65,0.0108,-0.0273,0.1167,-0.0203,0.0568,0.077,0.0609,0.1308
1.7,-0.0165,-0.0258,0.1212,-0.0233,0.0568,0.0724,0.0609,0.1353
1.75,0.0062,-0.0242,0.1136,-0.0324,0.0614,0.0724,0.0594,0.1187
1.8,0.0002,-0.0227,0.1303,-0.0127,0.0598,0.077,0.067,0.1384
1.85,0.0002,-0.0273,0.1167,0.0085,0.0583,0.0739,0.0685,0.1399
1.9,0.0032,-0.0273,0.1242,-0.0021,0.0614,0.0724,0.0655,0.1368
1.95,-0.0105,-0.0212,0.1167,-0.0294,0.0583,0.0861,0.0609,0.1353
2.0,0.0244,-0.0258,0.1121,-0.0233,0.0523,0.0694,0.0609,0.1293
2.05,0.0062,-0.0182,0.1212,-0.0218,0.0644,0.0815,0.0639,0.1459
2.1,0.0108,-0.0242,0.1182,-0.0158,0.0568,0.0785,0.0685,0.149
2.15,-0.0089,-0.0197,0.1076,-0.0203,0.0553,0.0785,0.0564,0.1444
2.2,-0.0029,-0.0258,0.1152,-0.0097,0.0598,0.0815,0.0594,0.1505
2.25,0.0289,-0.0212,0.1167,-0.0203,0.0583,0.077,0.0639,0.1278
2.3,0.0002,-0.0258,0.1182,-0.0021,0.0553,0.0785,0.0655,0.1399
2.35,0.0032,-0.0242,0.1061,-0.0127,0.0614,0.0739,0.0518,0.1353
2.4,-0.0044,-0.0242,0.1182,-0.0218,0.0462,0.0755,0.0594,0.1323
2.45,0.0077,-0.0227,0.1318,-0.0006,0.0644,0.0845,0.0624,0.1338
2.5,0.0168,-0.0258,0.1136,-0.0203,0.0568,0.0785,0.0624,0.1475
2.55,0.0198,-0.0212,0.1167,-0.0142,0.0447,0.0755,0.0579,0.1611
2.6,-0.0014,-0.0197,0.1106,-0.0142,0.0644,0.0724,0.0594,0.1565
2.65,0.0077,-0.0197,0.1136,-0.0218,0.0523,0.0739,0.0624,0.1565
2.7,0.0002,-0.0258,0.1258,-0.0097,0.0508,0.0724,0.07,0.152
2.75,0.0092,-0.0288,0.1167,-0.0158,0.0477,0.0724,0.0624,0.1444
2.8,0.0168,-0.0227,0.1273,-0.0021,0.0492,0.08,0.0609,0.1368
2.85,0.0032,-0.0182,0.1197,-0.0264,0.0523,0.0785,0.0624,0.155
2.9,0.0002,-0.0197,0.1182,-0.0006,0.0659,0.08,0.067,0.1444
2.95,0.0441,-0.0227,0.1091,-0.0052,0.0568,0.0755,0.0624,0.1459
3.0,0.0198,-0.0242,0.1197,-0.0158,0.0598,0.0845,0.0715,0.1475
3.05,0.0153,-0.0242,0.1136,-0.0279,0.0538,0.0739,0.0594,0.1338
3.1,-0.0014,-0.0197,0.1288,-0.0082,0.0568,0.0724,0.0564,0.1459
3.15,0.0108,-0.0197,0.1167,-0.0021,0.0598,0.0724,0.0594,0.1308
3.2,0.0138,-0.0227,0.1197,-0.0158,0.0568,0.0785,0.0579,0.155
3.25,0.0274,-0.0212,0.1288,-0.0112,0.0629,0.0815,0.0579,0.1368
3.3,0.0002,-0.0197,0.1288,-0.0173,0.0629,0.077,0.0624,0.1475
3.35,0.0214,-0.0258,0.1182,-0.0067,0.0583,0.0724,0.0594,0.1414
3.4,0.0289,-0.0227,0.1258,-0.0036,0.0538,0.077,0.0624,0.1444
3.45,0.0062,-0.0212,0.1348,-0.0052,0.0538,0.0815,0.0594,0.1338
3.5,0.0138,-0.0212,0.1273,-0.0097,0.0568,0.0755,0.0639,0.1338
3.55,0.0092,-0.0212,0.1273,-0.0188,0.0523,0.0755,0.0609,0.1384
3.6,0.0108,-0.0182,0.1182,-0.0294,0.0598,0.0755,0.0685,0.1262
3.65,0.0229,-0.0227,0.1212,-0.0097,0.0614,0.0739,0.0564,0.1278
3.7,0.0047,-0.0227,0.1197,-0.0127,0.0523,0.0785,0.0609,0.1384
3.75,0.0077,-0.0212,0.1227,-0.0067,0.0614,0.077,0.0564,0.1384
3.8,0.032,-0.0242,0.1091,-0.0294,0.0583,0.077,0.0624,0.1399
3.85,0.0123,-0.0273,0.1258,0.0039,0.0462,0.077,0.0594,0.1323
3.9,0.0077,-0.0242,0.1182,-0.0203,0.0492,0.077,0.0548,0.1429
3.95,0.0138,-0.0167,0.1364,-0.0188,0.0598,0.0815,0.0655,0.1414
4.0,0.0305,-0.0333,0.1212,-0.0052,0.0553,0.0694,0.0639,0.1429
4.05,-0.0059,-0.0242,0.1197,-0.0127,0.0523,0.077,0.0609,0.1384
4.1,0.0153,-0.0258,0.1182,-0.0158,0.0553,0.0755,0.067,0.1308
4.15,0.0032,-0.0197,0.1182,-0.037,0.0447,0.0739,0.0518,0.1444
4.2,0.0198,-0.0212,0.1197,-0.0188,0.0629,0.0739,0.0624,0.1475
4.25,-0.012,-0.0167,0.1318,-0.0248,0.0538,0.0755,0.0639,0.1384
4.3,0.0002,-0.0212,0.1045,-0.0294,0.0523,0.0815,0.0609,0.1429
4.35,0.0017,-0.0212,0.1136,-0.0127,0.0568,0.0739,0.0609,0.1444
4.4,0.0092,-0.0258,0.1258,-0.0036,0.0614,0.0724,0.0594,0.1459
4.45,0.0002,-0.0212,0.1212,-0.0173,0.0614,0.0724,0.0639,0.1323
4.5,0.0305,-0.0227,0.1227,-0.0112,0.0508,0.0785,0.0685,0.1293
4.55,0.0017,-0.0258,0.1227,-0.0158,0.0508,0.0815,0.0715,0.1414
4.6,0.0138,-0.0212,0.1288,-0.0264,0.0508,0.0755,0.0624,0.1505
4.65,0.0168,-0.0227,0.1212,-0.0158,0.0508,0.0785,0.0594,0.1399
4.7,0.0002,-0.0212,0.1227,-0.0158,0.0477,0.077,0.0685,0.1399
4.75,0.0138,-0.0227,0.1288,0.0009,0.0614,0.0755,0.0639,0.1475
4.8,-0.0044,-0.0227,0.1076,-0.0112,0.0477,0.0755,0.067,0.1338
4.85,0.0168,-0.0212,0.1182,0.0024,0.0492,0.077,0.0685,0.1293
4.9,0.0123,-0.0182,0.1258,-0.0264,0.0568,0.0785,0.0564,0.1459
4.95,0.0002,-0.0212,0.1,-0.0324,0.0462,0.0785,0.0655,0.1353
5.0,0.0138,-0.0227,0.1091,-0.0097,0.0553,0.0755,0.07,0.1278
5.05,0.0047,-0.0242,0.1273,-0.0097,0.0614,0.08,0.0655,0.1399
5.1,0.0002,-0.0318,0.1227,0.0009,0.0659,0.0694,0.0685,0.1384
5.15,0.0032,-0.0258,0.1167,-0.0203,0.0538,0.0876,0.0715,0.1247
5.2,0.0244,-0.0288,0.1227,-0.0021,0.0508,0.0694,0.0715,0.1262
5.25,0.0244,-0.0273,0.1227,-0.0142,0.0538,0.0815,0.0806,0.1384
5.3,0.0198,-0.0212,0.1152,-0.0233,0.0644,0.083,0.0594,0.1293
5.35,0.0456,-0.0197,0.1197,-0.0294,0.0553,0.0739,0.0609,0.1338
5.4,-0.0014,-0.0227,0.1182,-0.0203,0.0538,0.08,0.0624,0.1308
5.45,0.0259,-0.0212,0.1167,-0.0218,0.0614,0.0755,0.0594,0.1399
5.5,0.0153,-0.0227,0.1152,-0.0112,0.0508,0.0785,0.067,0.1353
5.55,0.0123,-0.0242,0.1212,-0.0082,0.0598,0.0739,0.0594,0.152
5.6,0.0168,-0.0242,0.1182,-0.0082,0.0553,0.0755,0.0624,0.1505
5.65,0.0244,-0.0152,0.1273,-0.0158,0.0568,0.0785,0.0564,0.1565
5.7,0.0153,-0.0258,0.1333,-0.0067,0.0614,0.0785,0.0639,0.1368
5.75,0.0077,-0.0303,0.1212,-0.0233,0.0629,0.08,0.0533,0.1429
5.8,-0.0044,-0.0182,0.1348,-0.0112,0.0659,0.0845,0.0639,0.1293
5.85,0.0138,-0.0242,0.1258,-0.0127,0.0629,0.077,0.0655,0.1308
5.9,0.0062,-0.0197,0.1197,-0.0112,0.0553,0.0755,0.07,0.1353
5.95,0.0123,-0.0182,0.1167,-0.0142,0.0508,0.0724,0.07,0.1368
6.0,0.0092,-0.0258,0.1212,-0.0097,0.0523,0.0815,0.0624,0.1672
6.05,0.0229,-0.0242,0.1288,-0.0218,0.0568,0.0785,0.0594,0.149
6.1,0.0168,-0.0212,0.1227,-0.0021,0.0568,0.077,0.0609,0.152
6.15,0.0123,-0.0227,0.1303,-0.0248,0.0538,0.0845,0.0594,0.1581
6.2,0.0214,-0.0197,0.1167,-0.0158,0.0598,0.0739,0.0609,0.1505
6.25,0.0229,-0.0258,0.1242,0.0024,0.0523,0.0709,0.067,0.1293
6.3,0.0032,-0.0288,0.1227,-0.0188,0.0583,0.08,0.073,0.1368
6.35,0.0002,-0.0258,0.1182,-0.0173,0.0553,0.0845,0.07,0.149
6.4,0.0062,-0.0227,0.1227,-0.0097,0.0553,0.083,0.0609,0.1323
6.45,0.0259,-0.0227,0.1303,0.0009,0.0568,0.0724,0.0594,0.1444
6.5,0.0032,-0.0197,0.1212,-0.0112,0.0553,0.077,0.0655,0.1338
6.55,0.0229,-0.0197,0.1106,-0.0097,0.0568,0.0785,0.0715,0.1262
6.6,0.0108,-0.0212,0.1121,-0.0188,0.0523,0.0785,0.0639,0.1247
6.65,0.0002,-0.0242,0.1212,-0.0142,0.0508,0.0694,0.0685,0.1262
6.7,0.0198,-0.0258,0.1258,-0.0248,0.0614,0.0755,0.0715,0.1368
6.75,0.0002,-0.0167,0.1167,-0.0173,0.0523,0.083,0.0655,0.1475
6.8,0.0138,-0.0227,0.1167,-0.0142,0.0553,0.0785,0.0609,0.1414
6.85,0.0183,-0.0242,0.1197,-0.0173,0.0553,0.0724,0.0609,0.152
6.9,0.0032,-0.0258,0.1258,-0.0082,0.0583,0.0815,0.0579,0.1323
6.95,-0.0074,-0.0273,0.1242,-0.0127,0.0553,0.083,0.0579,0.1535
7.0,0.0047,-0.0242,0.1258,-0.0142,0.0614,0.0739,0.0594,0.1535
7.05,-0.015,-0.0242,0.1136,-0.0218,0.0523,0.0755,0.0609,0.1459
7.1,0.0047,-0.0258,0.1136,-0.0067,0.0523,0.0815,0.0685,0.1399
7.15,0.0108,-0.0227,0.1288,-0.0052,0.0629,0.0739,0.0624,0.1399
7.2,0.0017,-0.0242,0.1152,-0.0021,0.0492,0.08,0.0609,0.1429
7.25,0.0123,-0.0212,0.1106,0.013,0.0614,0.077,0.0655,0.1505
7.3,0.0047,-0.0227,0.1227,-0.0158,0.0568,0.0739,0.0564,0.1338
7.35,0.0138,-0.0258,0.1182,-0.0203,0.0538,0.083,0.0579,0.1399
7.4,0.0032,-0.0242,0.1136,-0.0082,0.0508,0.0709,0.0564,0.1353
7.45,-0.0059,-0.0242,0.1212,-0.0127,0.0553,0.0755,0.0564,0.1459
7.5,-0.0029,-0.0242,0.1167,-0.037,0.0583,0.08,0.0564,0.1505
7.55,0.0092,-0.0242,0.1227,-0.0082,0.0568,0.0739,0.0594,0.1535
7.6,0.0108,-0.0227,0.1258,-0.0355,0.0538,0.0739,0.0518,0.1475
7.65,0.0108,-0.0212,0.1318,0.0024,0.072,0.0755,0.0594,0.1565
7.7,-0.0059,-0.0242,0.1242,-0.0082,0.0523,0.0679,0.0655,0.1611
7.75,-0.0029,-0.0242,0.1152,0.0009,0.0538,0.0861,0.0624,0.1414
7.8,-0.012,-0.0333,0.1076,-0.0339,0.0508,0.0861,0.0533,0.1444
7.85,0.0138,-0.0227,0.1258,-0.0173,0.0492,0.0724,0.0655,0.1459
7.9,0.0138,-0.0227,0.1212,0.013,0.0598,0.0785,0.0594,0.1353
7.95,-0.0044,-0.0197,0.1258,-0.0112,0.0568,0.0755,0.0685,0.1338
8.0,0.0123,-0.0288,0.1288,-0.0203,0.0614,0.0724,0.0564,0.1475
8.05,0.0047,-0.0182,0.1121,-0.0324,0.0523,0.077,0.0624,0.1338
8.1,0.0062,-0.0242,0.1242,-0.0112,0.0523,0.0694,0.0639,0.1384
