time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0229,0.0152,0.0288,0.0312,0.0598,0.0148,0.0458,0.0929
0.05,0.0229,0.0152,0.0273,0.0312,0.0614,0.0164,0.0427,0.0929
0.1,0.0229,0.0167,0.0258,0.0312,0.0598,0.0164,0.0442,0.0944
0.15,0.0214,0.0152,0.0258,0.0312,0.0614,0.0164,0.0412,0.0944
0.2,0.0229,0.0167,0.0273,0.0312,0.0598,0.0164,0.0427,0.0944
0.25,0.0229,0.0167,0.0288,0.0312,0.0614,0.0164,0.0427,0.0929
0.3,0.0229,0.0152,0.0273,0.0327,0.0614,0.0148,0.0427,0.0914
0.35,0.0229,0.0152,0.0273,0.0312,0.0598,0.0148,0.0412,0.0929
0.4,0.0229,0.0136,0.0258,0.0312,0.0614,0.0164,0.0427,0.0929
0.45,0.0229,0.0152,0.0273,0.0312,0.0614,0.0164,0.0412,0.0929
0.5,0.0229,0.0152,0.0258,0.0312,0.0598,0.0164,0.0427,0.0944
0.55,0.0229,0.0136,0.0258,0.0312,0.0598,0.0148,0.0442,0.0929
0.6,0.0229,0.0152,0.0258,0.0297,0.0598,0.0148,0.0442,0.0929
0.65,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0427,0.0914
0.7,0.0229,0.0152,0.0273,0.0312,0.0598,0.0148,0.0427,0.0914
0.75,0.0214,0.0136,0.0258,0.0312,0.0598,0.0148,0.0412,0.0929
0.8,0.0229,0.0136,0.0273,0.0297,0.0598,0.0133,0.0427,0.0914
0.85,0.0214,0.0136,0.0273,0.0297,0.0583,0.0148,0.0427,0.0914
0.9,0.0229,0.0152,0.0258,0.0312,0.0598,0.0133,0.0412,0.0914
0.95,0.0229,0.0136,0.0258,0.0297,0.0583,0.0148,0.0442,0.0929
1.0,0.0229,0.0136,0.0258,0.0312,0.0583,0.0148,0.0427,0.0929
1.05,0.0229,0.0152,0.0258,0.0312,0.0598,0.0164,0.0442,0.0929
1.1,0.0229,0.0167,0.0273,0.0312,0.0614,0.0164,0.0442,0.0914
1.15,0.0229,0.0152,0.0273,0.0297,0.0598,0.0164,0.0427,0.0929
1.2,0.0229,0.0152,0.0258,0.0297,0.0598,0.0164,0.0427,0.0929
1.25,0.0214,0.0136,0.0258,0.0297,0.0598,0.0164,0.0427,0.0929
1.3,0.0214,0.0136,0.0258,0.0312,0.0583,0.0164,0.0458,0.0944
1.35,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
1.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
1.45,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
1.5,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0959
1.55,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0442,0.0959
1.6,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0975
1.65,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
1.7,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
1.75,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0944
1.8,0.0229,0.0152,0.0273,0.0327,0.0614,0.0164,0.0442,0.0944
1.85,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
1.9,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0975
1.95,0.0229,0.0167,0.0303,0.0342,0.0614,0.0164,0.0442,0.0959
2.0,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0944
2.05,0.0244,0.0167,0.0288,0.0327,0.0614,0.0164,0.0427,0.0944
2.1,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
2.15,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0944
2.2,0.0229,0.0167,0.0288,0.0312,0.0614,0.0164,0.0442,0.0959
2.25,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0944
2.3,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0944
2.35,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
2.4,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
2.45,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0442,0.0959
2.5,0.0229,0.0167,0.0273,0.0312,0.0598,0.0164,0.0442,0.0944
2.55,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
2.6,0.0244,0.0167,0.0303,0.0342,0.0614,0.0164,0.0458,0.0959
2.65,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0458,0.0959
2.7,0.0244,0.0182,0.0303,0.0342,0.0629,0.0164,0.0458,0.0959
2.75,0.0229,0.0167,0.0273,0.0342,0.0614,0.0164,0.0473,0.0975
2.8,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
2.85,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
2.9,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0473,0.0975
2.95,0.0244,0.0167,0.0303,0.0327,0.0614,0.0164,0.0458,0.0959
3.0,0.0229,0.0167,0.0273,0.0327,0.0614,0.0164,0.0473,0.0959
3.05,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
3.1,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0944
3.15,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
3.2,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0975
3.25,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0959
3.3,0.0229,0.0167,0.0288,0.0327,0.0614,0.0164,0.0458,0.0975
3.35,0.0229,0.0167,0.0303,0.0327,0.0614,0.0164,0.0473,0.0959
3.4,0.0244,0.0167,0.0288,0.0342,0.0614,0.0164,0.0458,0.0959
3.45,0.0229,0.0167,0.0288,0.0342,0.0614,0.0164,0.0473,0.0959
