time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0,0.8048,1.7772,2.3696,2.2925,0.5951,0.5892,-0.3163
0.05,0.1564,1.1525,1.9521,1.9,1.0586,0.0536,-0.6027,-0.7222
0.1,0.309,1.3841,1.7681,1.0423,-0.0258,-1.8115,-0.518,-0.5758
0.15,0.454,1.4835,1.3188,0.2129,-0.4611,-1.1848,-0.5486,-1.1242
0.2,0.5878,1.4501,0.7508,-0.2915,-0.3942,0.7711,-1.0558,-1.1666
0.25,0.7071,1.2984,0.2169,-0.4167,-0.3088,-0.2865,-1.1183,-0.3123
0.3,0.809,1.0553,-0.1686,-0.3253,-0.5035,-1.0767,-0.4579,0.2017
0.35,0.891,0.7561,-0.3586,-0.2537,-0.8469,0.9123,0.1093,0.2249
0.4,0.9511,0.4397,-0.3776,-0.3506,-0.9858,1.1254,0.176,0.5753
0.45,0.9877,0.1431,-0.3023,-0.5935,-0.74,-0.3279,0.2765,0.9074
0.5,1.0,-0.1036,-0.2272,-0.8266,-0.2778,0.4107,0.6792,0.5534
0.55,0.9877,-0.2805,-0.2266,-0.8817,0.0748,0.6995,0.8485,0.0839
0.6,0.9511,-0.3801,-0.3285,-0.6968,0.1644,-0.9737,0.4862,-0.0009
0.65,0.891,-0.4077,-0.5068,-0.355,0.1327,-0.532,0.088,-0.2386
0.7,0.809,-0.3797,-0.6949,-0.0227,0.2249,0.7126,0.0132,-0.6991
0.75,0.7071,-0.32,-0.8147,0.164,0.5026,-0.749,-0.1018,-0.686
0.8,0.5878,-0.2561,-0.8079,0.1872,0.7692,-1.1629,-0.515,-0.3054
0.85,0.454,-0.2141,-0.6598,0.1486,0.7782,0.9023,-0.7847,-0.1791
0.9,0.309,-0.2141,-0.4056,0.1868,0.4979,0.7214,-0.5601,-0.0387
0.95,0.1564,-0.2669,-0.1164,0.37,0.1478,-0.5798,-0.2274,0.4702
1.0,0.0,-0.3721,0.1281,0.6394,-0.0315,0.5883,-0.1688,0.7429
1.05,-0.1564,-0.5172,0.2705,0.8438,-0.0284,0.9249,-0.0641,0.4893
1.1,-0.309,-0.68,0.2992,0.8434,-0.0608,-0.6338,0.4062,0.3441
1.15,-0.454,-0.8314,0.253,0.6105,-0.3197,-0.1291,0.8137,0.3314
1.2,-0.5878,-0.9397,0.2063,0.2567,-0.7281,0.5843,0.6911,-0.1604
1.25,-0.7071,-0.9759,0.2389,-0.0389,-0.9837,-1.1886,0.3892,-0.7457
1.3,-0.809,-0.918,0.4006,-0.1542,-0.8616,-1.2258,0.3874,-0.6978
1.35,-0.891,-0.7555,0.6856,-0.1177,-0.4636,0.8657,0.3196,-0.5311
1.4,-0.9511,-0.491,1.0247,-0.1008,-0.1338,0.308,-0.3247,-0.6899
1.45,-0.9877,-0.1416,1.3023,-0.3031,-0.0922,-0.8076,-1.0397,-0.3145
1.5,-1.0,0.2632,1.3915,-0.7976,-0.1576,0.8487,-1.0265,0.705
1.55,-0.9877,0.6842,1.198,-1.4365,0.118,1.4984,-0.6716,1.0545
1.6,-0.9511,1.0774,0.6973,-1.8908,0.9714,0.2821,-0.8646,0.8267
1.65,-0.891,1.3996,-0.0473,-1.816,2.0511,0.4565,-1.0339,1.3783
1.7,-0.809,1.6134,-0.8942,-1.0569,2.5537,-0.3104,0.3322,1.5885
1.75,-0.7071,1.6926,-1.6584,0.2278,1.8399,-3.0527,2.8324,-0.8455
1.8,-0.5878,1.6255,-2.1609,1.6035,0.0309,-2.2872,3.7177,-3.9765
1.85,-0.454,1.4163,-2.2802,2.5506,-1.9566,1.4058,1.4276,-3.3373
1.9,-0.309,1.0853,-1.9867,2.7114,-3.0209,2.1413,-1.9242,0.5999
1.95,-0.1564,0.6659,-1.3515,2.0611,-2.6583,1.2651,-3.1078,2.8599
2.0,-0.0,0.2012,-0.526,0.9092,-1.2835,1.2852,-1.786,1.8336
2.05,0.1564,-0.2621,0.3016,-0.264,0.1528,-0.4331,-0.2672,0.539
2.1,0.309,-0.6786,0.9584,-1.0461,0.9032,-2.1832,0.0625,0.4464
2.15,0.454,-1.01,1.3325,-1.2742,0.8987,-0.455,0.0604,0.0559
2.2,0.5878,-1.2296,1.3979,-1.0691,0.6161,0.6654,0.6249,-0.8979
2.25,0.7071,-1.3249,1.2119,-0.7173,0.5396,-0.9472,1.1619,-1.0677
2.3,0.809,-1.2984,0.888,-0.483,0.7363,-0.5387,0.9179,-0.5688
2.35,0.891,-1.1667,0.5544,-0.4638,0.8962,1.2211,0.3365,-0.4333
2.4,0.9511,-0.9576,0.3114,-0.567,0.7199,0.3855,0.1373,-0.332
2.45,0.9877,-0.7053,0.2028,-0.6069,0.2384,-0.1527,0.0949,0.2906
2.5,1.0,-0.446,0.2095,-0.4472,-0.2359,1.0361,-0.3026,0.7284
2.55,0.9877,-0.2122,0.2653,-0.0952,-0.4351,0.1152,-0.7658,0.5572
2.6,0.9511,-0.0287,0.2881,0.3081,-0.385,-1.2168,-0.7302,0.4451
2.65,0.891,0.0907,0.2151,0.5882,-0.3344,0.2114,-0.3855,0.4954
2.7,0.809,0.1444,0.0272,0.653,-0.4614,0.4695,-0.2625,0.1089
2.75,0.7071,0.1427,-0.2432,0.5471,-0.6776,-1.3333,-0.2448,-0.4434
2.8,0.5878,0.1051,-0.5265,0.4099,-0.7296,-0.5376,0.106,-0.5153
2.85,0.454,0.0573,-0.7423,0.3707,-0.4804,1.0776,0.5975,-0.4437
2.9,0.309,0.026,-0.8318,0.4549,-0.066,-0.0186,0.6843,-0.5942
2.95,0.1564,0.0343,-0.7798,0.5661,0.2389,-0.271,0.444,-0.4326
3.0,0.0,0.0978,-0.6206,0.5576,0.3019,1.1262,0.3758,0.1489
3.05,-0.1564,0.2215,-0.4244,0.3417,0.2598,0.2642,0.4153,0.4274
3.1,-0.309,0.3982,-0.2686,-0.0383,0.3517,-0.7396,0.0822,0.4015
3.15,-0.454,0.6094,-0.2059,-0.4273,0.6345,0.6008,-0.5004,0.6412
3.2,-0.5878,0.8273,-0.2409,-0.6585,0.8882,0.2126,-0.711,0.7614
3.25,-0.7071,1.0186,-0.3248,-0.6681,0.83,-1.6754,-0.5359,0.2276
3.3,-0.809,1.1498,-0.3712,-0.5438,0.4229,-0.5357,-0.5493,-0.2891
3.35,-0.891,1.1913,-0.2887,-0.4667,-0.0556,0.9011,-0.7213,-0.3357
3.4,-0.9511,1.1232,-0.0186,-0.578,-0.2846,-0.4052,-0.3682,-0.6475
3.45,-0.9877,0.9377,0.4349,-0.857,-0.2516,-0.3765,0.4859,-1.1809
3.5,-1.0,0.642,0.9951,-1.0972,-0.3027,1.2798,0.9259,-0.8234
3.55,-0.9877,0.2574,1.5277,-1.0115,-0.7854,0.7851,0.758,0.0692
3.6,-0.9511,-0.1822,1.8771,-0.413,-1.6,0.3175,0.9479,0.2456
3.65,-0.891,-0.6343,1.9139,0.6332,-2.1239,1.1466,1.6542,0.5889
3.7,-0.809,-1.0529,1.5784,1.7894,-1.6666,-0.7972,1.2634,2.2833
3.75,-0.7071,-1.3938,0.9044,2.5825,-0.1087,-3.4243,-1.1848,2.9671
3.8,-0.5878,-1.6206,0.0168,2.6338,1.8482,-1.5573,-3.6954,0.0317
3.85,-0.454,-1.7089,-0.8991,1.8602,3.0989,1.3,-3.3659,-3.715
3.9,-0.309,-1.6493,-1.6467,0.5305,2.9238,1.4806,-0.3388,-3.567
3.95,-0.1564,-1.449,-2.0717,-0.8562,1.5109,1.8031,2.2377,-0.3637
4.0,-0.0,-1.1303,-2.1022,-1.8077,-0.2157,1.594,2.3006,1.4495
4.05,0.1564,-0.7284,-1.7657,-2.0632,-1.3059,-1.1731,1.035,1.0553
4.1,0.309,-0.2861,-1.1758,-1.6888,-1.4357,-2.0079,0.4169,0.8517
4.15,0.454,0.1507,-0.4952,-1.0004,-0.993,0.1704,0.4508,1.1588
4.2,0.5878,0.5394,0.1132,-0.3693,-0.6027,0.0811,0.0447,0.6116
4.25,0.7071,0.8452,0.5321,-0.0266,-0.5642,-1.1903,-0.7616,-0.3475
4.3,0.809,1.0455,0.7175,0.0267,-0.6879,0.2046,-1.0272,-0.5532
4.35,0.891,1.1317,0.7013,-0.0329,-0.6031,0.978,-0.6538,-0.4927
4.4,0.9511,1.1097,0.57,0.0002,-0.179,-0.1988,-0.3982,-0.7805
4.45,0.9877,0.9982,0.4276,0.2184,0.3543,0.4726,-0.43,-0.7278
4.5,1.0,0.8253,0.3567,0.5502,0.6596,1.2113,-0.1896,-0.1032
4.55,0.9877,0.6238,0.3906,0.8228,0.6291,-0.6247,0.3906,0.2605
4.6,0.9511,0.4265,0.5066,0.8872,0.4585,-0.908,0.6952,0.276
4.65,0.891,0.261,0.6397,0.7185,0.4083,0.7493,0.5359,0.5448
4.7,0.809,0.146,0.7117,0.4263,0.5217,-0.1912,0.4115,0.7664
4.75,0.7071,0.0892,0.6643,0.1742,0.5937,-1.4391,0.498,0.412
4.8,0.5878,0.086,0.4825,0.0661,0.4113,0.1923,0.3434,-0.0131
4.85,0.454,0.1213,0.2011,0.0805,-0.0009,0.7059,-0.1821,-0.0951
4.9,0.309,0.172,-0.1085,0.0943,-0.3911,-0.5053,-0.5471,-0.3286
4.95,0.1564,0.2115,-0.3656,-0.0201,-0.5342,0.4191,-0.491,-0.7376
5.0,0.0,0.2138,-0.5116,-0.2948,-0.4569,1.1616,-0.4393,-0.6509
5.05,-0.1564,0.1589,-0.5328,-0.6326,-0.3919,-0.449,-0.6079,-0.2252
5.1,-0.309,0.0357,-0.4652,-0.8671,-0.5084,-0.3084,-0.5392,-0.0959
5.15,-0.454,-0.1546,-0.3802,-0.8746,-0.7069,1.032,-0.0041,0.0648
5.2,-0.5878,-0.3988,-0.3552,-0.6637,-0.709,-0.5006,0.4594,0.6309
5.25,-0.7071,-0.6723,-0.4396,-0.374,-0.3592,-1.64,0.4779,0.8864
5.3,-0.809,-0.9423,-0.63,-0.1819,0.1774,0.1544,0.5013,0.5192
5.35,-0.891,-1.1722,-0.864,-0.1708,0.5536,0.4143,0.8475,0.3236
5.4,-0.9511,-1.3263,-1.0362,-0.2565,0.5943,-0.7769,0.9204,0.2897
5.45,-0.9877,-1.3757,-1.0335,-0.2265,0.4993,0.3534,0.2535,-0.4153
5.5,-1.0,-1.302,-0.7765,0.1195,0.6474,1.174,-0.4716,-1.2139
5.55,-0.9877,-1.1007,-0.2538,0.8114,1.1529,0.1245,-0.5549,-1.0118
5.6,-0.9511,-0.7826,0.4628,1.6356,1.6175,0.8554,-0.6691,-0.6749
5.65,-0.891,-0.3732,1.2301,2.2073,1.3853,1.4554,-1.6427,-1.0143
5.7,-0.809,0.0902,1.8697,2.1629,0.1429,-1.5371,-2.3765,-0.1773
5.75,-0.7071,0.5626,2.2173,1.3683,-1.664,-3.2491,-0.9155,2.6792
5.8,-0.5878,0.9968,2.1713,0.0243,-3.0213,-0.932,2.2615,3.9961
5.85,-0.454,1.3487,1.7246,-1.4009,-3.0575,0.7157,4.0185,1.0413
5.9,-0.309,1.5833,0.969,-2.3836,-1.7099,1.2375,2.4723,-2.8044
5.95,-0.1564,1.6785,0.0711,-2.5902,0.2136,2.5464,-0.513,-3.0847
6.0,-0.0,1.6277,-0.7733,-2.0264,1.6326,1.3509,-1.9364,-0.9377
6.05,0.1564,1.4406,-1.3929,-1.0111,1.9602,-1.7574,-1.4075,0.1132
6.1,0.309,1.1415,-1.6851,0.0024,1.4197,-1.3826,-0.737,0.08
6.15,0.454,0.7661,-1.6386,0.656,0.708,0.3456,-0.7899,0.6603
6.2,0.5878,0.3568,-1.328,0.8409,0.3591,-0.6589,-0.6973,1.2759
6.25,0.7071,-0.0428,-0.883,0.7008,0.3734,-0.8815,0.0705,0.8529
6.3,0.809,-0.3933,-0.4446,0.4995,0.3768,0.7426,0.7442,0.2269
6.35,0.891,-0.6643,-0.121,0.4434,0.0797,0.3173,0.7214,0.1288
6.4,0.9511,-0.8379,0.0409,0.5671,-0.4303,-0.3046,0.5069,-0.1503
6.45,0.9877,-0.9098,0.0615,0.7419,-0.8116,1.2025,0.6009,-0.7404
6.5,1.0,-0.8893,0.0109,0.7872,-0.8313,0.8397,0.6094,-0.7922
6.55,0.9877,-0.7972,-0.0239,0.6038,-0.5829,-1.1115,0.1338,-0.3962
6.6,0.9511,-0.6614,0.025,0.2402,-0.3569,-0.2179,-0.3947,-0.2745
6.65,0.891,-0.5129,0.1803,-0.1441,-0.3263,0.7847,-0.4815,-0.1587
6.7,0.809,-0.3807,0.4126,-0.3895,-0.3827,-0.9044,-0.4034,0.3647
6.75,0.7071,-0.287,0.6538,-0.4395,-0.283,-1.0079,-0.5609,0.698
6.8,0.5878,-0.2443,0.8247,-0.369,0.0641,0.6235,-0.6617,0.5072
6.85,0.454,-0.2536,0.8666,-0.321,0.4818,-0.0073,-0.3029,0.3849
6.9,0.309,-0.3043,0.7648,-0.3966,0.6988,-0.47,0.2009,0.3912
6.95,0.1564,-0.3764,0.5539,-0.5786,0.6256,1.1092,0.3505,-0.0233
7.0,0.0,-0.4437,0.3044,-0.7398,0.4374,0.6748,0.335,-0.5512
7.05,-0.1564,-0.4785,0.0952,-0.7327,0.3744,-0.8207,0.5683,-0.5666
7.1,-0.309,-0.456,-0.0189,-0.4975,0.4708,0.4215,0.7903,-0.4608
7.15,-0.454,-0.3592,-0.0291,-0.1132,0.5094,0.9262,0.507,-0.6011
7.2,-0.5878,-0.182,0.0214,0.2483,0.259,-1.1613,-0.0322,-0.3714
