time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05,0.0998,0.1494,0.1987,0.2474,0.2955,0.3429,0.3894
0.1,0.0998,0.1987,0.2955,0.3894,0.4794,0.5646,0.6442,0.7174
0.15,0.1494,0.2955,0.435,0.5646,0.6816,0.7833,0.8674,0.932
0.2,0.1987,0.3894,0.5646,0.7174,0.8415,0.932,0.9854,0.9996
0.25,0.2474,0.4794,0.6816,0.8415,0.949,0.9975,0.984,0.9093
0.3,0.2955,0.5646,0.7833,0.932,0.9975,0.9738,0.8632,0.6755
0.35,0.3429,0.6442,0.8674,0.9854,0.984,0.8632,0.6378,0.335
0.4,0.3894,0.7174,0.932,0.9996,0.9093,0.6755,0.335,-0.0584
0.45,0.435,0.7833,0.9757,0.9738,0.7781,0.4274,-0.0084,-0.4425
0.5,0.4794,0.8415,0.9975,0.9093,0.5985,0.1411,-0.3508,-0.7568
0.55,0.5227,0.8912,0.9969,0.8085,0.3817,-0.1577,-0.6506,-0.9516
0.6,0.5646,0.932,0.9738,0.6755,0.1411,-0.4425,-0.8716,-0.9962
0.65,0.6052,0.9636,0.929,0.5155,-0.1082,-0.6878,-0.9868,-0.8835
0.7,0.6442,0.9854,0.8632,0.335,-0.3508,-0.8716,-0.9825,-0.6313
0.75,0.6816,0.9975,0.7781,0.1411,-0.5716,-0.9775,-0.8589,-0.2794
0.8,0.7174,0.9996,0.6755,-0.0584,-0.7568,-0.9962,-0.6313,0.1165
0.85,0.7513,0.9917,0.5577,-0.2555,-0.895,-0.9258,-0.3271,0.4941
0.9,0.7833,0.9738,0.4274,-0.4425,-0.9775,-0.7728,0.0168,0.7937
0.95,0.8134,0.9463,0.2875,-0.6119,-0.9993,-0.5507,0.3586,0.9679
1.0,0.8415,0.9093,0.1411,-0.7568,-0.9589,-0.2794,0.657,0.9894
1.05,0.8674,0.8632,-0.0084,-0.8716,-0.8589,0.0168,0.8757,0.8546
1.1,0.8912,0.8085,-0.1577,-0.9516,-0.7055,0.3115,0.9882,0.5849
1.15,0.9128,0.7457,-0.3035,-0.9937,-0.5083,0.5784,0.9808,0.2229
1.2,0.932,0.6755,-0.4425,-0.9962,-0.2794,0.7937,0.8546,-0.1743
1.25,0.949,0.5985,-0.5716,-0.9589,-0.0332,0.938,0.6247,-0.544
1.3,0.9636,0.5155,-0.6878,-0.8835,0.2151,0.9985,0.3191,-0.8278
1.35,0.9757,0.4274,-0.7885,-0.7728,0.45,0.9699,-0.0252,-0.9809
1.4,0.9854,0.335,-0.8716,-0.6313,0.657,0.8546,-0.3665,-0.9792
1.45,0.9927,0.2392,-0.9351,-0.4646,0.8231,0.663,-0.6633,-0.8228
1.5,0.9975,0.1411,-0.9775,-0.2794,0.938,0.4121,-0.8797,-0.5366
1.55,0.9998,0.0416,-0.9981,-0.0831,0.9946,0.1245,-0.9894,-0.1656
1.6,0.9996,-0.0584,-0.9962,0.1165,0.9894,-0.1743,-0.9792,0.2315
1.65,0.9969,-0.1577,-0.9719,0.3115,0.9226,-0.4575,-0.8502,0.5921
1.7,0.9917,-0.2555,-0.9258,0.4941,0.7985,-0.6999,-0.6181,0.8592
