time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,-2.3555561989576694,-2.445556705816468,-2.2033549827170824,-2.380380110487698,-1.949839466652745,-2.060774917615339,-2.2864998970740884,-2.3822410790188906
0.05,-2.352246260179663,-2.447229408748963,-2.2040371847514564,-2.3775080796404464,-1.9420633360333666,-2.062380059543324,-2.2853225251416145,-2.3828750147544775
0.1,-2.351429209425432,-2.445116205522487,-2.203362252138171,-2.3777328609495747,-1.9402408650628944,-2.062612678375013,-2.2842978697030256,-2.3825594919430455
0.15,-2.354036780842664,-2.4429252997058994,-2.204246249270937,-2.378539129180344,-1.946150889453337,-2.0618313411449583,-2.284657869708861,-2.3823266149942675
0.2,-2.356660816702585,-2.4438314002788992,-2.2040312936888022,-2.3758256474148203,-1.95244992833457,-2.0613615056565333,-2.2852883238624213,-2.3805815966523034
0.25,-2.356558254542311,-2.446016129769492,-2.200916220778686,-2.3721759814898675,-1.9530944625159188,-2.0613506588626045,-2.2837291899623273,-2.3766764490588588
0.3,-2.3551583698298364,-2.4464718290449445,-2.1988557111399705,-2.373474464221781,-1.9505090148344735,-2.0612688677371347,-2.2810749177745113,-2.3750246366067853
0.35,-2.3549829574154324,-2.4455721550276524,-2.200877604677361,-2.3785059955788146,-1.9497702684580849,-2.0613162107310057,-2.281507097175394,-2.3789976252668015
0.4,-2.3557109232424773,-2.445168141690839,-2.203347631859631,-2.379913337121808,-1.9507502826501795,-2.061916062614306,-2.285196231819952,-2.384081594817206
0.45,-2.355566316348318,-2.4449315475929434,-2.2021896900458917,-2.37602262791352,-1.9502240773011876,-2.062575627591942,-2.286643946522525,-2.3840346816267006
0.5,-2.3546332893932584,-2.443628339583722,-2.199841392894971,-2.373731386608567,-1.9482449651268843,-2.0625092467594874,-2.2832702388242203,-2.380556571032712
0.55,-2.354310503716451,-2.4421890043884087,-2.200610080475842,-2.377354870788712,-1.9475358184760325,-2.0619229664797425,-2.2805838069887225,-2.3795772920805165
0.6,-2.354720107062085,-2.4424680479909227,-2.2032690598368947,-2.3819053063082745,-1.948335881134324,-2.061661946818707,-2.2838190668044187,-2.381220381874504
0.65,-2.3548891828746,-2.4439233016438973,-2.2037271976351107,-2.381267991698561,-1.9485355949341976,-2.061941627466514,-2.288711369417495,-2.381384821623583
0.7,-2.354702473681813,-2.4443099988582375,-2.2018865382713595,-2.3771062314765468,-1.948332996171406,-2.0622673021953775,-2.2872820561280087,-2.3804605848399114
0.75,-2.354832188365446,-2.4433316464884025,-2.2007880016474104,-2.3750230424260845,-1.9503636424065873,-2.0623074786419133,-2.280305166284178,-2.3819816366397526
0.8,-2.3553188972513137,-2.4430777385351936,-2.2012915809066307,-2.376342826138301,-1.954705339087644,-2.0621557586688213,-2.276530774689916,-2.384638098109086
0.85,-2.3556143962663425,-2.444548617886866,-2.20182975257333,-2.3784656183927657,-1.9576066558257026,-2.0619948770934062,-2.2798842889400253,-2.3841498278796105
0.9,-2.3553983027983314,-2.445899284991036,-2.201428281611836,-2.3800882744240703,-1.956627875140561,-2.0620133884928746,-2.2846897693692303,-2.381661582309361
0.95,-2.354406504702668,-2.445113446336975,-2.1998026373308877,-2.381352727520137,-1.9540772949062044,-2.0623374702214607,-2.2850055409783288,-2.381924909461143
1.0,-2.352536326895113,-2.4430351172450178,-2.1969525910003966,-2.381018082049992,-1.9534366962511784,-2.0626955584162485,-2.282259712554308,-2.3843090378758762
1.05,-2.351035553504878,-2.442408863852674,-2.1952107239387475,-2.3779835137600305,-1.9546125002151518,-2.0626159276834977,-2.280874977974058,-2.384016188082001
1.1,-2.3519686390932666,-2.44435217370893,-2.1981723029770763,-2.374548790540239,-1.9550155182933753,-2.062215729431907,-2.281555488935688,-2.381285804269571
1.15,-2.355077016501172,-2.4469734007756534,-2.204687747419106,-2.374391304259568,-1.953898774569503,-2.0621072548836987,-2.2825044189488617,-2.3807834327163437
1.2,-2.3568679326948354,-2.4477685231570536,-2.208054664097411,-2.3776291498628335,-1.9530519531802826,-2.0622399898147665,-2.283525973140592,-2.382411214251896
1.25,-2.3548378621763004,-2.446566548515489,-2.204821609304637,-2.3806883207088787,-1.9535844305521732,-2.0617891358513845,-2.2851714375686454,-2.3815442824039
1.3,-2.3512475636178283,-2.445350327379527,-2.200144801945505,-2.3808964702193296,-1.9543384577221847,-2.0606854279802285,-2.2862733138869626,-2.3783494770599516
1.35,-2.350343261960327,-2.4455380483047087,-2.200068142978008,-2.3790857574813526,-1.9539647901237027,-2.060126184027545,-2.285700151183184,-2.3779693593504256
1.4,-2.3527411708418677,-2.446472667632337,-2.2027510585729435,-2.3777700454235418,-1.9529143556642286,-2.0607299051009678,-2.284977711549576,-2.3809590986051137
1.45,-2.355172023581685,-2.446724975512861,-2.20272717771213,-2.3783549154528583,-1.9525534357905379,-2.061312144188274,-2.286262611041063,-2.382375511971371
