time_s,ch0_kPa,ch1_kPa,ch2_kPa,ch3_kPa,ch4_kPa,ch5_kPa,ch6_kPa,ch7_kPa
0.0,-2.3514,-2.4333,-2.2045,-2.387,-1.9553,-2.0564,-2.2785,-2.3874
0.05,-2.3514,-2.447,-2.2121,-2.3885,-1.9508,-2.0564,-2.2906,-2.3844
0.1,-2.3483,-2.4379,-2.2106,-2.387,-1.9508,-2.0579,-2.2891,-2.3874
0.15,-2.3559,-2.4439,-2.2076,-2.3915,-1.9523,-2.0564,-2.2891,-2.3874
0.2,-2.3498,-2.4424,-2.2091,-2.3976,-1.9538,-2.0564,-2.2891,-2.3844
0.25,-2.3498,-2.4364,-2.2121,-2.3855,-1.9538,-2.0564,-2.2891,-2.3874
0.3,-2.3529,-2.4364,-2.203,-2.3839,-1.9523,-2.0564,-2.2891,-2.3874
0.35,-2.3544,-2.4409,-2.2091,-2.393,-1.9523,-2.0579,-2.2891,-2.3889
0.4,-2.3514,-2.4394,-2.2061,-2.3915,-1.9538,-2.0564,-2.2906,-2.3859
0.45,-2.3529,-2.4394,-2.203,-2.3915,-1.9492,-2.0548,-2.2891,-2.3844
0.5,-2.3514,-2.4364,-2.1985,-2.39,-1.9523,-2.0579,-2.2906,-2.3874
0.55,-2.3514,-2.4364,-2.2197,-2.3991,-1.9553,-2.0579,-2.2906,-2.3874
0.6,-2.3498,-2.4394,-2.2061,-2.3824,-1.9538,-2.0579,-2.2906,-2.3874
0.65,-2.3498,-2.4409,-2.2091,-2.3855,-1.9508,-2.0564,-2.2906,-2.3859
0.7,-2.3529,-2.4333,-2.203,-2.3855,-1.9477,-2.0579,-2.2921,-2.3874
0.75,-2.3498,-2.4364,-2.2,-2.39,-1.9508,-2.0579,-2.2921,-2.3904
0.8,-2.3498,-2.4379,-2.2015,-2.387,-1.9538,-2.0548,-2.2952,-2.3874
0.85,-2.3514,-2.4364,-2.2091,-2.3945,-1.9553,-2.0579,-2.2921,-2.3904
0.9,-2.3514,-2.4379,-2.2015,-2.393,-1.9614,-2.0564,-2.2906,-2.3889
0.95,-2.3559,-2.4364,-2.2045,-2.3839,-1.9568,-2.0548,-2.2921,-2.3889
1.0,-2.3468,-2.4333,-2.2,-2.3885,-1.9553,-2.0579,-2.2906,-2.3889
1.05,-2.3559,-2.4424,-2.2136,-2.3855,-1.9477,-2.0548,-2.2936,-2.3874
1.1,-2.3529,-2.4364,-2.203,-2.3839,-1.9523,-2.0564,-2.2906,-2.3889
1.15,-2.3514,-2.4409,-2.2091,-2.3839,-1.9508,-2.0548,-2.2921,-2.3889
1.2,-2.3468,-2.4364,-2.2091,-2.3885,-1.9462,-2.0564,-2.2891,-2.3889
1.25,-2.3589,-2.4424,-2.2106,-2.387,-1.9523,-2.0594,-2.2891,-2.3874
1.3,-2.3544,-2.4394,-2.203,-2.3961,-1.9538,-2.0579,-2.2921,-2.3904
1.35,-2.3514,-2.4394,-2.197,-2.3809,-1.9477,-2.0564,-2.2906,-2.3904
1.4,-2.3498,-2.4379,-2.203,-2.3839,-1.9523,-2.0564,-2.2921,-2.3889
1.45,-2.3483,-2.4394,-2.2015,-2.387,-1.9553,-2.0564,-2.2921,-2.3904
1.5,-2.3514,-2.4394,-2.2076,-2.387,-1.9417,-2.0548,-2.2906,-2.3889
1.55,-2.3514,-2.4379,-2.2015,-2.3915,-1.9523,-2.0564,-2.2891,-2.3904
1.6,-2.3529,-2.4394,-2.2015,-2.387,-1.9523,-2.0564,-2.2876,-2.3904
1.65,-2.3498,-2.4364,-2.2061,-2.387,-1.9553,-2.0579,-2.2861,-2.3874
1.7,-2.3544,-2.4439,-2.1985,-2.387,-1.9538,-2.0579,-2.2906,-2.3889
1.75,-2.3529,-2.4318,-2.197,-2.3839,-1.9508,-2.0564,-2.2921,-2.3874
1.8,-2.3544,-2.4379,-2.2,-2.387,-1.9553,-2.0564,-2.2952,-2.3919
1.85,-2.3498,-2.4409,-2.2091,-2.4021,-1.9538,-2.0594,-2.2936,-2.3919
1.9,-2.3514,-2.4424,-2.2045,-2.3885,-1.9523,-2.0564,-2.2921,-2.3904
1.95,-2.3498,-2.4409,-2.2136,-2.3945,-1.9538,-2.0594,-2.2952,-2.3904
2.0,-2.3498,-2.4379,-2.2076,-2.393,-1.9508,-2.0579,-2.2936,-2.3919
2.05,-2.3483,-2.4379,-2.2045,-2.3885,-1.9523,-2.0579,-2.2967,-2.3935
2.1,-2.3498,-2.4394,-2.2121,-2.3885,-1.9508,-2.0579,-2.2952,-2.3935
2.15,-2.3498,-2.4394,-2.2091,-2.3839,-1.9492,-2.0579,-2.2921,-2.3904
2.2,-2.3514,-2.4379,-2.1985,-2.3915,-1.9508,-2.0579,-2.2921,-2.3904
2.25,-2.3514,-2.4364,-2.2,-2.393,-1.9462,-2.0564,-2.2906,-2.3874
2.3,-2.3498,-2.4409,-2.2106,-2.3885,-1.9492,-2.0579,-2.2906,-2.3874
2.35,-2.3514,-2.4394,-2.2121,-2.3961,-1.9553,-2.0564,-2.2815,-2.3889
2.4,-2.3514,-2.4424,-2.2152,-2.4021,-1.9538,-2.0594,-2.2906,-2.3874
2.45,-2.3514,-2.4379,-2.2015,-2.39,-1.9523,-2.0579,-2.2982,-2.3919
2.5,-2.3498,-2.4394,-2.2045,-2.3855,-1.9523,-2.0579,-2.3012,-2.3889
2.55,-2.3514,-2.4364,-2.2,-2.3885,-1.9462,-2.0579,-2.2952,-2.3919
2.6,-2.3529,-2.4394,-2.2061,-2.3915,-1.9432,-2.0579,-2.2936,-2.3904
2.65,-2.3498,-2.4364,-2.2136,-2.3991,-1.9492,-2.0594,-2.2906,-2.3919
2.7,-2.3544,-2.4394,-2.2091,-2.3855,-1.9523,-2.0564,-2.2952,-2.3919
2.75,-2.3498,-2.4379,-2.2076,-2.3991,-1.9523,-2.0579,-2.2952,-2.3919
2.8,-2.3529,-2.4364,-2.2015,-2.39,-1.9477,-2.0564,-2.2921,-2.3889
2.85,-2.3514,-2.4439,-2.2,-2.3839,-1.9508,-2.0594,-2.2936,-2.3904
2.9,-2.3498,-2.4364,-2.2045,-2.3839,-1.9508,-2.0564,-2.2921,-2.3889
2.95,-2.3514,-2.4394,-2.2091,-2.39,-1.9492,-2.0564,-2.2845,-2.3874
3.0,-2.3498,-2.4379,-2.1985,-2.3855,-1.9523,-2.0594,-2.2936,-2.3919
3.05,-2.3529,-2.4394,-2.203,-2.393,-1.9492,-2.0548,-2.2906,-2.3889
3.1,-2.3529,-2.4348,-2.197,-2.3824,-1.9508,-2.0594,-2.2906,-2.3844
3.15,-2.3544,-2.4364,-2.2015,-2.3885,-1.9492,-2.0579,-2.2906,-2.3874
3.2,-2.3514,-2.4379,-2.2076,-2.3885,-1.9508,-2.0564,-2.2891,-2.3874
3.25,-2.3483,-2.4379,-2.1985,-2.3855,-1.9447,-2.0579,-2.2921,-2.3889
3.3,-2.3468,-2.4364,-2.2,-2.3809,-1.9492,-2.0564,-2.2891,-2.3889
3.35,-2.3498,-2.4348,-2.2015,-2.3809,-1.9508,-2.0564,-2.2906,-2.3874
3.4,-2.3498,-2.4379,-2.2061,-2.387,-1.9417,-2.0579,-2.2815,-2.3904
3.45,-2.3529,-2.4364,-2.203,-2.387,-1.9598,-2.0548,-2.2876,-2.3874
3.5,-2.3468,-2.4379,-2.2076,-2.3839,-1.9462,-2.0579,-2.2906,-2.3874
3.55,-2.3483,-2.4364,-2.203,-2.3839,-1.9462,-2.0564,-2.2936,-2.3889
3.6,-2.3483,-2.4364,-2.2091,-2.387,-1.9477,-2.0579,-2.2997,-2.3874
3.65,-2.3529,-2.4364,-2.2,-2.3885,-1.9462,-2.0579,-2.2906,-2.3874
3.7,-2.3483,-2.4348,-2.1985,-2.3885,-1.9477,-2.0564,-2.2921,-2.3859
3.75,-2.3498,-2.4394,-2.2045,-2.3945,-1.9462,-2.0564,-2.2845,-2.3889
3.8,-2.3544,-2.4364,-2.2045,-2.3855,-1.9386,-2.0548,-2.2921,-2.3874
3.85,-2.3559,-2.4394,-2.2076,-2.3824,-1.9492,-2.0594,-2.2906,-2.3889
3.9,-2.3529,-2.4379,-2.1985,-2.39,-1.9462,-2.0564,-2.2906,-2.3874
3.95,-2.3514,-2.4394,-2.1985,-2.3824,-1.9462,-2.0579,-2.2936,-2.3919
4.0,-2.3453,-2.4333,-2.1985,-2.3824,-1.9508,-2.0548,-2.2936,-2.3874
4.05,-2.3544,-2.4333,-2.2091,-2.393,-1.9508,-2.0548,-2.2906,-2.3889
4.1,-2.3514,-2.4364,-2.197,-2.3824,-1.9477,-2.0533,-2.2906,-2.3844
4.15,-2.3514,-2.4364,-2.2,-2.3839,-1.9462,-2.0564,-2.2952,-2.3919
